TANGGAL,FF_AVG
01-04-2025,3
02-04-2025,3
03-04-2025,3
04-04-2025,3
05-04-2025,2
06-04-2025,3
07-04-2025,2
08-04-2025,2
09-04-2025,3
10-04-2025,2
11-04-2025,3
12-04-2025,2
13-04-2025,2
14-04-2025,3
15-04-2025,2
16-04-2025,3
17-04-2025,1
18-04-2025,2
19-04-2025,2
20-04-2025,1
21-04-2025,2
22-04-2025,2
23-04-2025,1
24-04-2025,1
25-04-2025,3
26-04-2025,2
27-04-2025,2
28-04-2025,3
29-04-2025,2
30-04-2025,3
01-05-2025,1
02-05-2025,2
03-05-2025,3
04-05-2025,2
05-05-2025,1
06-05-2025,2
07-05-2025,2
08-05-2025,1
09-05-2025,1
10-05-2025,2
11-05-2025,2
12-05-2025,1
13-05-2025,2
14-05-2025,1
15-05-2025,2
16-05-2025,2
17-05-2025,2
18-05-2025,1
19-05-2025,2
20-05-2025,2
21-05-2025,2
22-05-2025,1
23-05-2025,2
24-05-2025,2
25-05-2025,3
26-05-2025,2
